,Title,Generation
0,Latest Headlines on CNN Business,"['Latest Headlines on CNN Business. \n "" it\'s a good thing you\'re not in the news, because i would have had to kill myself if that happened. and now i\'m going home with my wife and son for christmas dinner. "" he sighed heavily as he stared at his computer screen. \n she knew what was coming next ; she \'d seen enough of this kind of stuff before from her father - or so they said. but she didn\'t want him thinking about himself when he got back from new york. he needed time to think about things like how much money he could spend on clothes and shoes and furniture. \n "" dad... please don\'t go, "" she whispered. \n he turned toward her then, looking older than ever, more tired. "" why should we? "" he asked softly. \n she felt tears prick behind her eyes again. "" because there are people who need us here, too.... "" \n chapter twenty - eight \n rachel sat alone in the kitchen, staring out into the dark night, trying desperately to figure out where her life had gone wrong. she thought she might be able to find work somewhere else, maybe even get some help. but then she remembered what david told her : no one wanted their daughter living off welfare payments anymore. she could barely afford groceries herself, let alone rent a car. she was lucky to still live at all after being forced to move to california. \n her cell phone rang. caller id showed an unfamiliar number. \n she glanced over her shoulder and saw that isaac was calling. she answered without answering. "" hello? "" \n "" hi, honey! is everything okay? "" \n rachel swallowed hard. she hated talking on the telephone with someone other than her mother. especially since her sister - in law, sarah, lived only three miles away. "" yes. fine. just wondering if you\'ve heard anything yet from your brother. "" \n "" nothing unusual has come up lately, except for a couple of missing kids and two disappearances. "" \n "" are those any different cases? "" \n silence. "" well, yeah. i guess so. "" \n she frowned. "" were they related? "" \n "" i can\'t say, mom. you know me better than anyone. "" \n she waited']"
1,China wants to take a victory lap over its handling of the coronavirus outbreak,"['China wants to take a victory lap over its handling of the coronavirus outbreak. "" \n i nodded, but my mind was still on what had just happened in the locker room and the fact that we \'d been attacked by an infected vampire - or at least one with fangs like mine - when he spoke again. \n "" so you\'re saying they want us dead? "" \n i shook my head slowly as if it were all too much for me to process. "" no! not really... they don\'t even know who killed them yet. "" \n his eyes narrowed, making him look more dangerous than ever before. \n "" then why are you here? "" he asked. \n my heart began pounding harder in fear. "" because they\'ve kidnapped my sister from her home and have taken her away somewhere else, where she \'ll be safe until this thing is solved. "" \n chapter twenty four : kiev \n "" how did you find out about our location? "" matteo demanded once he realized kiev\'s presence. \n "" there must\'ve been some kind of tracking device planted inside the cell. otherwise, i would never have found your daughter. "" \n "" why does everyone keep telling these lies? "" matteo snapped. "" you should be thanking saira for keeping you alive. "" \n "" thank saira? she saved both of our lives today. "" \n matteo sighed. "" fine. let\'s get back into town and see whether any other vampires have returned. maybe one can help us figure out which island we need to go through first. "" \n the two men headed off toward town. \n matteo kept glancing behind himself every few seconds. after several minutes, however, he stopped walking and turned around. \n "" come along, boy, "" he said, gesturing towards the woods. "" we can\'t stay cooped up here forever. "" \n i followed matteo into the forest. \n the sun set as soon as we arrived at the outskirts of port moresby. matteo led me down a narrow road leading north. we passed many houses and shops, each filled with people preparing meals and chatting amongst themselves while others sat eating their dinner in front of fires. \n we reached another small village and matteo pointed ahead. \n "" this way. "" \n he walked briskly and suddenly pulled me against him. \n "" wait here. "" \n he']"
2,Coronavirus disinformation creates challenges for China's government,"['Coronavirus disinformation creates challenges for China\'s government. "" \n "" that\'s not what i\'m talking about, sir! the president has been working with us to develop a vaccine against this disease and he wants it now! we have no idea how many people are infected but there is one person who does know something - someone in washington - and she needs help. "" \n "" then you\'re wasting your time here, young man ; get back home where you belong and let me handle this myself. "" \n the phone went dead as smith hung up on his boss. the last thing klein needed was another confrontation from an irate american intelligence officer or any of those other types. \n smith sat down at his desk, took out the fax printout he had printed off his computer screen earlier, opened it, and began reading : \n dr. peter howell, ph.d., m.d., phd, united states army medical association ( ret.c ), retired military attache, u.s. air force base at fort bragg... \n he read through several pages before stopping when he came across the name of the hospital where marty zellerbach lived. he looked around the office, feeling uneasy. he didn\'t like hospitals much anymore than anyone else did. but if they were so close, why would jon be in them? \n then he remembered the strange message on the internet : \n jon --- \n please call me. \n please don\'t go away again. \n marty\'s voice echoed inside him. \n please. \n for some reason, his heart sank. marty sounded desperate. \n smith closed the paper and set it aside. he could think only of randi russell. \n chapter thirty seven \n baghdad \n wednesday night \n by midmorning, jon knew what he must tell her. the truth. \n after leaving the airport, he \'d flown straight into town, bypassing customs and immigration. he found marty waiting outside a small hotel room, sitting cross legged on the bed while smoking cigarettes. he wore jeans and t - shirt, which made him look more grown - ups than twenty years old. he also seemed distracted, staring blankly ahead without speaking. \n jon said gently, "" hey, buddy. can you talk to me? "" \n marty shook himself, looking dazed. "" oh my god! sorry. just thinking. ""']"
3,China coronavirus: Eating wild animals made illegal but ending the trade won't be easy,"['China coronavirus: Eating wild animals made illegal but ending the trade won\'t be easy. \n "" i\'m not sure, sir! "" said a man in his late fifties with thinning hair and glasses who was sitting on one of the benches near us. he had an air about him that suggested he knew something we didn\'t know. \n "" what do you mean? "" asked mckean. \n "" they\'re saying there\'s no vaccine for this disease at all - it just doesn\'t exist anymore. "" \n mckean shook his head slowly from side to side as if trying to shake away cobwebs. then he looked up at me with eyes wide open. "" how can this possibly happen? "" \n "" my guess is that whoever created these creatures must have been very careful. that means someone has done some research into them. "" \n mckean frowned thoughtfully and nodded. "" yes... perhaps so. but why would anyone want to kill off their own kind? "" \n "" maybe somebody wanted to keep their species alive. or maybe someone wants to preserve its longevity by killing every last living creature within fifty miles of neah bay. "" \n "" that makes sense, peyton. and yet the idea seems unlikely. "" \n "" because people are afraid of death. "" \n mckean considered the possibility. "" i \'ll take your word for it, fin. let me ask tleena here where she came from. she knows more than most of our scientists do. "" \n "" well, she told me where her father died when he took over the family business after gordon steel retired. "" \n mckean studied her face closely for any sign of recognition, which never occurred to her. instead she stared back blankly, like a child whose mother forgot her name, until finally she spoke. "" oh, right. gordon steel. he worked out of san francisco city hospital. "" \n "" i remember seeing him around town once before. he seemed quite nice enough. "" \n "" he used to work for a company called pacific northwest medicine. "" \n "" sounds familiar. i\'ve heard of that place. how long ago were those days? "" \n "" two years now. "" \n "" hmm. i wonder why he left the practice? "" \n "" probably because he thought he \'d get rich selling drugs for profit. "" \n "" good point. "" \n ""']"
4,China's economy could shrink for the first time in decades because of the coronavirus,"['China\'s economy could shrink for the first time in decades because of the coronavirus. \n "" i\'m sorry, mr. president, but we can\'t do that anymore - not with this kind of damage to our country\'s health and well being! it is too late now... you must be prepared for what will happen next! if there are any more problems like this on your hands then please contact me immediately and let us know as soon as possible. thank you so much! "" said general stilkin, who had been standing at his podium listening intently to all of their conversation. he was a very good friend, but he did have some concerns about how they were going to handle the situation when they got back home from washington d.c. he knew it would take them longer than expected to get everything straightened out. he also wanted everyone involved to understand exactly why the military needed an army for such things, especially since there seemed no way to fix anything without getting caught or killed. it was just one thing after another, sometimes it took months before people realized that something really bad might actually go down. \n * * ~~~ * -- chapter twenty - four : death threats \n president westwood sat behind the desk looking over reports while reading through several articles about aliens attacking earth. he looked up when someone knocked on the door. \n "" come right in sir, "" came the voice of major sammy davis from outside the room. \n captain scarburg walked inside carrying two cups filled with coffee. he set both into front of him and motioned for forrest to sit across from him. once seated, sam explained what happened at kennedy airport in dallas earlier today. \n "" i heard the news from my superiors, sir ; apparently these terrorists attacked several civilian airports during the day. i thought maybe it would help to keep the public safe, but now it seems like there has already started to spread rumors around town. "" \n "" captain, i am afraid you may need to stay away from those terrorist attacks until further notice. this attack has nothing to do with the united states government. this is a serious threat to mankind. "" \n "" yes, sir, i realize that. however, i think it should only concern myself. i believe the chinese can use nuclear weapons against us. i believe they are using an advanced weapon called ufoc, which means a bomb']"
5,China and Japan's budding relationship in the time of coronavirus,"['China and Japan\'s budding relationship in the time of coronavirus. \n "" i\'ve been thinking about that, too, "" he said. \n she looked up at him with a smile as if to say : you\'re not going anywhere until we talk this out. \n "" well? what\'s on your mind? "" \n his eyes were serious now ; they held her gaze for several seconds before moving away from hers again. \n "" it wasn\'t just that we didn\'t get along very well when you left me last year - we had some issues. but there are other things that need talking about right now. like how much you hate my father, or why you want to leave the country so badly. "" \n nicola felt herself relax slightly under those words, even though they still hurt. especially since she \'d always believed marcus could never be anything more than an employee who worked hard to make money, rather than someone who made mistakes. \n "" how do you know all these things? "" she asked softly. \n he shrugged one shoulder. "" i\'m good at reading people. and i can tell by looking into their faces when they lie down that something is bothering them. "" \n "" i can\'t believe you have such great insight into men! "" she exclaimed, then realized it sounded rude even to ask. "" sorry, "" she quickly added when he opened his mouth to speak. "" let me guess... you read women magazine. "" \n "" no, actually, i write stories for magazines, mostly romance novels and fantasy books, "" he told her, clearly pleased by her surprise. "" my editor likes your work better than mine because she knows exactly where every word goes. "" \n she laughed at the thought of a woman writing stories about him, which only served to remind her that she wasn\'t really interested anymore. "" but what does being able to see through everyone else\'s lies mean to you? "" \n "" everything, "" he admitted without hesitation. "" i love having secrets. "" \n oh god, she loved knowing his secret, wanted to hear the rest of it. "" do you ever think about getting married someday? "" \n "" yes. "" he paused for another moment before saying, "" but first i need to figure out whether i should wait to marry until after our wedding']"
6,Coronavirus is fast becoming an 'economic pandemic',"['Coronavirus is fast becoming an \'economic pandemic\'. "" \n i nodded and said, "" that\'s true. the cdc has been trying to get a vaccine for years now but it doesn\'t work out as well as we \'d hoped. in fact they\'re still working on getting one from some of our own labs. the only thing they have going right at this moment are the new vaccines. if you want them back then go ahead and use \'em! "" \n he laughed and shook his head, saying, "" no way. those things were too expensive. there was nothing left after my wife died. she had everything we needed. what would be the point? besides... "" he looked down at me with sad eyes before continuing. "" we do need something more than just food or water though. "" \n "" yeah, "" i agreed. "" so how much longer will your family stay here? "" \n "" not sure. maybe another month. "" \n i didn\'t like where this conversation was heading and asked him why he wanted us gone when all he really cared about was killing zombies. \n "" because there\'s nowhere else for them to run, "" he replied simply. \n chapter twenty - three : \n zombie apocalypse \n i woke up feeling better than ever before. i felt refreshed and ready to face whatever lay beyond the door. when i opened it, i saw my father sitting in front of the television watching cnn while eating breakfast. he turned off the tv and smiled when he noticed me standing by the doorway. \n "" good morning son, "" he greeted. \n "" hi dad. thanks for letting mom sleep. "" \n "" oh, sorry about last night. "" \n "" oh no problem. i\'m glad you guys could make it. "" \n "" it was fun. "" \n "" yeah, i guess so. "" \n "" you know, there\'s someone who wants to talk to you today. he says he \'ll pay you two hundred dollars per week. "" \n "" wow. that sounds great. can i come over tomorrow afternoon? "" \n "" yes, of course. "" \n "" thank god! "" \n "" okay, see ya soon. "" \n "" bye. love you daddy. "" \n "" love you too kid. "" \n i walked into the']"
7,"A history of Wuhan, one-time Chinese capital and coronavirus epicenter","['A history of Wuhan, one-time Chinese capital and coronavirus epicenter. \n "" i\'m sorry to hear about your father\'s death, but you must understand that it wasn\'t his fault. he had no choice in the matter ; if anyone should have been responsible for what happened... "" she said with finality as though this were all her decision making. "" we are here because our country needs us now more than ever. "" \n my mother looked at me, waiting for an answer. i did not know how much longer i could stand there before answering. after everything else she \'d done, i knew nothing would be better or safer. i thought back over every conversation between them since they left and realized that they never really spoke to each other anymore. their relationship seemed so strained when i first met them, but then again, maybe that is why they became friends. \n "" mom? do you think dad will remember anything from those days? i mean, will he even want to see me again? "" i asked nervously. \n "" oh dear! "" mrs. saunders exclaimed, looking like she wanted to scream out loud. "" i wish i could tell him that you\'re alive, honey. but i ca nt say any more right now. just give yourself some rest and let your body heal. "" \n my heart sank into the pit of my stomach and i felt myself begin to sob uncontrollably. my parents\'deaths made sense now. if only i could forget all these years, it might make things easier on both of us. but i needed answers now more desperately than ever. \n * * * \n i woke up feeling refreshed and rested. i sat up slowly, rubbing my eyes with shaky hands. there was still a little bit of blood on my shirt where someone hit me, but thankfully it was gone. i glanced around the room, seeing that most everyone except mr. saunders was asleep, which meant they probably went home early. i wondered briefly who could possibly sleep through such an event, but decided against asking. \n i got dressed quickly, careful to keep the small amount of makeup on while walking down the hall toward the kitchen. i found grandma mary sitting by herself at the table, reading something. i walked past her without saying hello, hoping that she would take pity on me and leave me alone.']"
8,Global stocks pull back from the edge after historic sell-off,"['Global stocks pull back from the edge after historic sell-off. "" \n he was right, of course ; it had been a long time since she \'d seen this side to him and his family\'s wealth. but that didn\'t mean her heart could stay in one place for too many years. \n "" i\'m sorry about your parents\'deaths. "" \n "" thanks, mom. you\'re very kind. they were good people. "" \n "" so are we all. "" he smiled at her again before turning away with another wave. "" hey, do me an honest favor? keep an eye on my sister while i go check out some new things around here. if there is anything wrong or needs fixing up... call me, okay? "" \n she nodded, feeling like she should say something else, but she just stood frozen as he walked away. when he got into his car and started driving toward town, she turned and ran down the street, stopping only once to take pictures of the trees lining the road. then she went inside the house and locked herself in the bathroom until she felt better. \n chapter six : the reunion \n a few days later, thibault sat alone in front of the television in nana\'s living room watching the news. he knew what was coming next, though not exactly how much. the first part of the story would be summarized by a description of elizabeth\'s visit to hampton, which meant that he needed to know everything that happened during those three weeks, including whether ben had learned any more than he already had. he also wanted to hear every detail about what ben thought. \n the second half of the report included details concerning their trip to california and the subsequent arrival of zeus, along with several other tidbits regarding the events surrounding the accident. thibault listened intently as ben described his encounter with beth. in short order, he told them about the night he saw her standing outside the diner where she worked, and about how thibault had come across him. the last thing he remembered afterward was seeing her smiling broadly, and when he asked why she looked happy, she explained that because he \'d never met anyone who made him feel like she really cared enough to make such an effort to help someone. \n while he waited for her response, thibault tried to imagine himself with her. it']"
9,Chinese diplomat promotes conspiracy theory that US military brought virus to Wuhan,"['Chinese diplomat promotes conspiracy theory that US military brought virus to Wuhan, and then the president\'s secretary of defense is assassinated by a terrorist group. "" \n he paused for effect before continuing : "" now we have an international incident in our country with one major exception - china has been using its own nuclear weapons against the united states! this threat was not made out of any political power but from some kind of biological weapon! it seems like you\'re all going nuts over nothing more than your government being attacked by terrorists who are trying to kill each other off. i\'m sorry if my words offend or even scare you. however, as far as these things go... they seem pretty serious about their cause! so what do you think? should we take them seriously? should we be concerned that there may be another attack on our nation? "" \n general vandenberg replied calmly, "" sir, the situation here at home is very different than anywhere else in america. we\'ve got people working hard, getting ready for war, preparing food supplies, building infrastructure, planning new hospitals, training soldiers.... everything can change drastically! "" \n stryker looked around his office. everyone seemed calm and collected ; except him! when did this happen? how long had he known someone would betray him? \n he continued, "" gentlemen, let me tell you something. i am still a little confused. why would anyone want to harm america? don\'t get too comfortable thinking i will fall into line behind these guys! they were just doing their job! "" said stryker sarcastically. \n "" well, mr. solomon, there must have been a reason for their actions, which could explain why they came back here today. the fact remains that there is no way this whole thing could possibly work without help! if you ask me, it does sound fishy! "" exclaimed general shinnle. "" yeah right! i mean what makes you say that? "" asked candace. she knew better than most the ways stryker operated. she also suspected that he worked alone. her suspicions proved correct when stryker answered, "" because, as soon as they left, they went straight to the airport where they boarded an air force jet heading south. i know it sounds crazy, but maybe that plane had something to do with the attacks! "" \n chapter 23 \n stryker sat down']"
