POS,class
"JJS NNS IN NN : CC DT JJ VBZ VBN TO VB , WDT MD VBG RP NNP VBD PRP$ . VBP RBR `` RB CD PRP JJR ) ( EX WP POS WRB '' RBS",ctrl
"NN VBZ TO VB DT IN PRP$ JJ . VBN JJS CD NNS CC VBD JJR PRP RB VBP WP VBG MD , POS WDT RP : WRB ( ) FW",ctrl
"NN VBZ NNS IN POS DT JJ TO VB WDT VBN JJR CD VBP RB , . CC PRP VBG PRP$ : WP EX MD WRB VBD '' JJS RP RBR RBS FW NNP",ctrl
"NN : JJ NNS VBN CC VBG DT MD RB VB . VBZ IN EX VBP , PRP TO WRB WP VBD RBR JJR RP PRP$ FW WDT ( ) NNP CD `` POS JJS RBS",ctrl
"NN POS MD VB IN DT JJ NNS CC , VBG VBD . WDT VBZ RB CD TO PRP RBR VBP NNP WP VBN PRP$ EX : JJS WRB JJR `` $ ( FW",ctrl
"NN CC POS IN DT . VBZ VBN TO NNS JJ VBP RB RP PRP MD VB WP VBG WRB VBD EX , RBR CD PRP$ WDT : JJS JJR",ctrl
"NN VBZ RB VBG DT JJ POS ( ) : NNS IN VBD , WDT VBN JJS CD CC JJR VBP TO . PRP MD VB PRP$ EX WRB RP `` PDT '' NNP WP",ctrl
"DT NN IN , JJ CC . VBZ RB VBD JJR CD NNS : JJS WP VBN VBG RP WDT VBP TO VB PRP EX WRB ( POS ) MD `` '' $ RBR FW NNP",ctrl
"JJ NNS VBP RB IN DT NN CC : VBZ CD , TO VBD ( ) VBN PRP WDT VBG PRP$ JJR $ WP MD VB NNP . WP$ PDT EX RP WRB RBR JJS RBS",ctrl
"JJ NN NNS VBP WDT PRP VBD TO VB VBZ VBG DT IN WP VBN RP . : CC PRP$ POS EX RB MD , RBR '' WP$ ( CD ) UH JJR WRB NNP ``",ctrl
"NN CC VBP VBG DT TO VB PRP$ . IN , VBZ RP JJ PRP : VBD MD VBN RBR NNS RB EX WRB JJR WP CD `` '' POS WDT RBS NNP",ctrl
"WRB DT JJ NN VBD NNS IN CD CC RB PRP TO $ ( ) VBG : . JJR POS , MD VB PRP$ RP VBZ VBN JJS VBP PDT EX WDT NNPS NNP `` WP FW",ctrl
"DT CD JJS JJ NNS IN NN POS ( ) : , VBD PRP VBZ `` '' TO VB RB . CC VBP JJR VBN EX MD WRB VBG WP PRP$ RP NNP WDT UH FW",ctrl
"NN MD VB VBG JJR IN DT CD POS JJ VBZ VBD PRP$ NNS CC PRP TO . VBP , EX RB WRB WP WDT VBN : ( ) RBR `` NNP # RP JJS",ctrl
"NN JJ NNS : WRB VBD DT IN VBN CD , VBP NNP RB FW RBS TO VB . POS ( ) VBZ JJR RP PRP$ PRP CC VBG WP MD EX RBR JJS WP$",ctrl
"NN IN VBN NNS CC JJ . VBD , TO VB WP VBG DT POS PRP RB JJS CD VBZ VBP RBR `` WRB '' MD PRP$ WDT RP : WP$ JJR EX NNP RBS ( FW",ctrl
"JJ NNS NN TO VB POS : DT IN VBZ VBG WDT MD RB . CC PRP$ JJS VBP VBN PRP VBD CD JJR WP , EX RBR ( ) RBS WRB UH RP",ctrl
"IN JJ NN TO : WRB CC VBD POS DT CD NNS PRP$ . VBP WDT PRP MD RB VB NNP JJR RP VBG VBN , ( ) VBZ WP UH `` '' $ EX JJS RBR",ctrl
"CD JJ NNS IN NN : TO . DT VBZ POS RBS CC PRP$ JJS PRP VBN VBD JJR RB VBG , VBP VB ( NNP ) FW MD WRB RP $ WP EX RBR WDT",ctrl
"NN : WDT NNS VBP . JJ VBZ PRP VBN CD IN , VBG CC WP RB TO VB ( ) DT VBD PRP$ WRB NNP RP MD EX # FW",ctrl
"NN JJS VBD IN NNS DT POS VBZ VBN RP JJ WDT TO VB . PRP RB EX CC VBP PRP$ `` WRB JJR MD , '' CD ( ) : VBG WP RBS NNP $",ctrl
"IN NN VBG RP MD VB CD RB . : VBZ DT NNS VBP VBN TO , CC PRP WP POS PRP$ NNP JJ VBD WRB EX RBR `` '' WDT JJR JJS ( ) #",ctrl
"IN NN NNS , RB NNP JJ DT MD VB VBN : CC VBZ PRP WP VBD VBG . WP$ CD TO PRP$ POS WRB JJR VBP EX RP `` ( ) RBR # JJS FW $",ctrl
