,Generation,label
0,"latest headlines on cnn business - google's google glass may be the most important technology in the world today, but it's not the only one. - this google street view car has a camera that can take photos of anything. - google's chromecast has become a very popular streaming device, but it's also a great way to watch video. - google's home speaker is a great way to listen to music, but it's also a great way to control smart home devices. - google's new android wear smartwatch is great, but it's also a great way to control smart home devices. - google's chrome browser has become a very popular browser, but it's also a great way to control smart home devices. - google's new google photos app is a great way to keep track of your photos, but it's also a great way to control smart home devices. - google's google maps app is a great way to navigate around, but it's also a great way to control smart home devices. - google's new google play music streaming service is a great way to listen to music, but it's also a great way to control smart home devices. - google's google lens app is a great way to take photos, but it's also a great way to control smart home devices. - google's new google play services is a great way to manage your apps and services, but it's also a great way to control smart home devices. - google's new google play services is a great way to manage your apps and services, but it's also a great way to control smart home devices. - google's new google search app is a great way to find the right information, but it's also a great way to control smart home devices. - google's new google play music app is a great way to listen to music, but it's also a great way to control smart home devices. - google's new google maps app is a great way to navigate around, but it's also a great way to control smart home devices. - google's new google play store is a great way to get great apps and games, but it's also a great way to control smart home devices. - google's new google wallet app is a great way to pay with your google wallet, but it's also a great way to control smart home",gpt2
1,"china wants to take a victory lap over its handling of the coronavirus outbreak in its most populous province. the world health organization (who) said friday that china had stopped the spread of the virus in its biggest city, shanghai, for the first time since the outbreak began in march. the who said the outbreak had been contained in five of the city's eight districts and no new cases were being reported in the city. the who said it was the first time the virus had been contained in a city, although there had been previous cases in a number of cities in the country. the who said it had also found no new cases of the virus in the country's restive southern region of guangdong. ""the who is very pleased that the shanghai region has successfully halted the spread of the coronavirus,"" who director-general margaret chan said in a statement. ""we are particularly pleased that the virus has been contained in shanghai, a city of more than 1.5 million people, for the first time in the country's history,"" she added. china has a population of 1.3 billion, of which more than 600 million live in the southern region. the virus has sickened more than 400,000 people in china, the who said, and infected more than 10,000 people in other countries, including the united states, the united kingdom and france. the who said the outbreak was still spreading. the who said it was also investigating whether there was a link between the outbreak and the virus that killed at least 15 people in the united states last month. china's top health official has called the outbreak a public health emergency and has vowed to take all necessary measures. ""the outbreak is spreading fast, and it is urgent that we strengthen our response to prevent further spread of the virus,"" health minister chen jining said in a statement on thursday. the who said that in the five districts where the virus had been contained, there had been no new cases of the virus. the who said the virus was transmitted by contact with the bodily fluids of infected people. it said the virus was known to be spread through direct contact with infected people, through the food they eat, and through the air they breathe. ""the who has no new cases of the virus, but we are worried about the possibility that other countries may have been affected,"" who director-general margaret chan said. the who said",gpt2
2,"coronavirus disinformation creates challenges for china's government as it faces a number of challenges from domestic and foreign media, the journal said. in november, the world health organization (who) issued a warning to chinese health authorities about the spread of the virus, warning that the virus is not only affecting people in china but could also spread to other parts of the world. the chinese government has said it is making efforts to control the virus, including monitoring and controlling the number of people infected, and reducing the spread of the virus. | | what is the purpose of this site? this site is dedicated to the history of the indian national army and to the indian army's indian army history. it is intended as a resource for those interested in the history of the indian army and its history from the early years of the indian army to the present. the site is dedicated to the indian army and indian army history and the history of the indian army is presented in the form of an interactive timeline. the timeline is divided into several sections, the primary section being the indian army's indian army history section. the timelines are divided into different eras, beginning with the period from 1857 to 1947 and ending with the period from 1947 to the present. the timeline is divided into different sections. the main section of the timeline is divided into the following sections: 1857 to 1947 1857-1947 1947-present for information on the indian army and indian army history, please click here. in addition to the timeline, the site has several sections that will provide information on the indian army and indian army history, including: | | somerville, ma - the somerville city council has unanimously approved a new bike lane along central avenue from north street to north avenue. the new lanes will improve safety for bicyclists and drivers, and will also provide an alternate route for pedestrians and bicyclists. the new bike lanes will be installed along central avenue between north street and the mass avenue bridge. the new lanes will provide a more direct route for cyclists and pedestrians, and will be placed in the middle of the street. the existing bike lanes will remain in place. the new bike lanes will be on a 2.5-mile stretch from north street to the mass avenue bridge. they will be installed on central avenue between north street and the mass avenue bridge. the new lanes will provide a more direct route for cyclists and pedestrians, and will be placed in the middle of",gpt2
3,"china coronavirus: eating wild animals made illegal but ending the trade won't be easy the european union is to outlaw the trade of wild animals but not the use of their products, despite calls from some animal welfare groups to go further. the move, which will be announced on thursday, is the latest step in the eu's drive to end the use of wild animals in european agriculture. it comes after a public outcry over the sale of wild animals to china, where they are used in traditional medicine. in february, the european commission gave china until 2017 to end the trade of wild animals. the move comes amid growing concerns about the spread of the coronavirus (cva) in china, which has affected more than 30,000 people in the country, killing at least 21. the disease was first detected in pigs in china in march 2015 and has since spread to other animals. cva is a highly contagious viral disease that affects the heart, lungs and brain. it is spread by close contact with infected animals. cva was first detected in pigs in china in march 2015 and has since spread to other animals it has been linked to at least 21 deaths and has been linked to a number of other illnesses in china, including mad cow disease and skin cancer. in the latest outbreak, chinese authorities have closed some 14,000 pig farms and closed shops selling meat from those farms. the eu has also issued a warning to china that wild animals should not be used in traditional medicine and that they should be bred and sold in the eu. the eu's decision comes after a public outcry over the sale of wild animals to china, where they are used in traditional medicine the commission has been working on the proposal for some time and it comes after a public outcry over the sale of wild animals to china, where they are used in traditional medicine the commission has been working on the proposal for some time and it comes after a public outcry over the sale of wild animals to china, where they are used in traditional medicine 'the commission is announcing today its decision to introduce a ban on the trade of wild animals in the european union. 'the eu will also ban the use of wild animals in traditional medicine in the eu.' the ban will be effective from 1 january 2017. the commission said it had received a number of letters and comments from consumers and animal welfare groups. 'the commission has received a number of",gpt2
4,"china's economy could shrink for the first time in decades because of the coronavirus, according to a report released monday by the world bank and the world health organization. china's economy could shrink for the first time in decades because of the coronavirus, according to a report released monday by the world bank and the world health organization. the report found that the country's growth will slow from 7.8 percent in 2014 to 6.3 percent in 2015 and from 6.6 percent in 2014 to 6.4 percent in 2015. china's economy could shrink for the first time in decades because of the coronavirus, according to a report released monday by the world bank and the world health organization. the report found that the country's growth will slow from 7.8 percent in 2014 to 6.3 percent in 2015 and from 6.6 percent in 2014 to 6.4 percent in 2015. ""china's economic slowdown is expected to continue in 2015,"" the report said. the report said the economic slowdown is mainly due to the impact of the country's economic slowdown and the slowdown of its top two export industries, steel and coal. china's economic slowdown is mainly due to the impact of the country's economic slowdown and the slowdown of its top two export industries, steel and coal. china's economy is expected to contract by 0.4 percent in 2015, from the previous estimate of 0.7 percent, according to the world bank report. china's economy is expected to contract by 0.4 percent in 2015, from the previous estimate of 0.7 percent, according to the world bank report. the report said the global economic slowdown and the global financial crisis are the main factors behind the slowdown. the report said the global economic slowdown and the global financial crisis are the main factors behind the slowdown. the report said the global economic slowdown is mainly due to the impact of the global financial crisis and the global economic slowdown is mainly due to the impact of the global financial crisis and the global economic slowdown is mainly due to the impact of the global financial crisis and the global economic slowdown is mainly due to the impact of the global financial crisis and the global economic slowdown is mainly due to the impact of the global financial crisis and the global economic slowdown is mainly due to the impact of the global financial crisis and the global economic slowdown is mainly due to the impact of the global financial crisis and the global economic slowdown is mainly due to the impact of the global financial",gpt2
5,"china and japan's budding relationship in the time of coronavirus, and the media has a lot of fun with it. this is a fairly rare event, and the cdc has not yet issued a public health alert. so i'm curious: what is the average length of time between the time the coronavirus was identified in the united states and the time it was detected in china? it's not really clear, but it's likely that the u.s. and china have been working together for quite some time. the cdc has a very detailed list of contacts of the u.s. who have died from the virus, and there's a good chance that they've already had contact with chinese patients. that's why i was surprised to see a chinese story about this happening in china. it's not often that you see a chinese news story about a u.s. person dying from the virus, and the u.s. government has not issued an alert. how can i help? i think it's important to get more information about the cdc's recommendations for the use of the vaccine. they're very specific, and there's no way that you can prepare for a disease that has no known cure. there are no vaccines against the virus. the best you can do is get a vaccine to protect against the virus that you are currently exposed to. for people who are at risk, i think it's important that you get vaccinated. the cdc has a page that's worth checking out. and if you're worried about the virus, i highly recommend that you take a look at this article on the cdc's website. it's a pretty comprehensive list of recommendations for people who are at risk of contracting the virus. thanks, and happy holidays! | | detroit, mi - a new study published in the journal of the american medical association has found that a woman's risk of developing breast cancer increases by 1.5 times if she is a mother to a child born with a cleft palate. researchers from the university of michigan medical school and the university of michigan health system conducted a study in which they tracked the health and lifestyle of 2,844 women in the u.s. who were between the ages of 50 and 74 at the time of their survey. the study found that women who had children with clefts had a 1.5-fold increased risk of developing breast cancer. the cleft palate is a large",gpt2
6,"coronavirus is fast becoming an 'economic pandemic' due to the rapid growth of the 'emerging pandemic' of zika virus. the virus has been found in blood samples from several pregnant women in brazil, as well as from an american tourist. according to a study published in the journal nature, the virus has been found in the blood of five women in brazil, as well as one in the us, and the virus is spreading rapidly in the area. researchers at the university of california, san francisco (ucsf) found that the virus is found in the blood of five women in brazil, as well as one in the us the virus is found in the blood of five women in brazil, as well as one in the us, and the virus is spreading rapidly in the area the virus is found in the blood of five women in brazil, as well as one in the us, and the virus is spreading rapidly in the area the virus is also found in the blood of one american woman who visited the zika region of brazil and who returned home with a fever. the virus is also found in the blood of one american woman who visited the zika region of brazil and who returned home with a fever the virus is also found in the blood of one american woman who visited the zika region of brazil and who returned home with a fever. the researchers said that the virus is not spreading in the area, and it is likely that the virus has been 'slipped' into the blood of the women. the researchers said that the virus is not spreading in the area, and it is likely that the virus has been 'slipped' into the blood of the women a brazilian doctor, who has worked in the area, said that the virus is causing a 'serious epidemic' in the area. dr. armando motta said that the virus is causing a 'serious epidemic' in the area, and that the virus is spreading rapidly in the area. the virus is also found in the blood of one american woman who visited the zika region of brazil and who returned home with a fever. the virus is also found in the blood of one american woman who visited the zika region of brazil and who returned home with a fever. dr. armando motta, who has worked in the area, said that the virus is causing a 'serious epidemic' in the area, and that the virus is spreading rapidly in",gpt2
7,"a history of wuhan, one-time chinese capital and coronavirus epicenter wuhan, capital of hubei province, has been plagued by a virus that has sickened nearly 1,500 people, mostly young children, since may. the first case was reported on may 11, and the second case was reported on may 16. the virus has since spread to at least eight provinces in china, and the number of confirmed cases is expected to rise. the first case was in the city of wuhan, which is home to the world's largest steelmaking industry. the state-run news agency xinhua reported that the first case was a child who fell ill on may 8. the wuhan government said in a statement that the city has been closed for the past two weeks and that the virus has been contained. the city's hospital has been set up to handle the cases. in a statement, the world health organization (who) said it is ""extremely concerned by the reports of cases of typhoid fever in china, and has activated its emergency response team."" the who said it is monitoring the situation closely, and is also sending a team to china to assess the situation. wuhan has been the epicenter of a massive outbreak of the coronavirus, which has sickened more than 1,500 people in hubei province and southwestern china. the virus is transmitted by contaminated food and water, and can cause severe acute kidney failure and death. it can also cause severe respiratory illness, and infants can be born with severe kidney failure. the chinese government has declared three days of national mourning for the victims of the outbreak, and has declared a three-day period of national mourning for the first case. the outbreak is believed to be linked to a contaminated food supply in the city of wuhan. as of wednesday, the who said that the outbreak has so far affected more than 1,000 people in china, but there is no specific number of people who have died. the who said that there is no evidence of a link between the outbreak and the 2009 h1n1 pandemic virus. | | washington (reuters) - the u.s. government is preparing to spend billions of dollars on the next generation of nuclear weapons, despite strong opposition from some members of congress, a report on the issue showed on thursday. a worker cleans up after a us air force b-52 stratofortress nuclear bomb",gpt2
8,"global stocks pull back from the edge after historic sell-off the dow jones industrial average fell 90 points to 20,878.75, the s&p 500 lost 1.6%, and the nasdaq composite lost 1.2%. the pan-european ftseurofirst 300 index fell 0.6% to 1,220.33. the german dax index lost 0.3%, while the french cac 40 index lost 0.2%. the world's largest banks, including jpmorgan chase & co and bank of america corp, reported weaker-than-expected quarterly results. moody's investors service cut its long-term credit rating for u.s. banks to bbb- from a-, citing the uncertainty over the 2016 fiscal and economic policies and the lack of clarity on how the fed will respond. the credit rating agency also downgraded u.s. government debt to aa2 from aa1, citing the possibility of higher interest rates and the lack of clarity on fiscal and monetary policy. investors continued to take the opportunity to buy stocks, which have been on a tear, fueled by a rally in the u.s. dollar, a strong u.s. economy and rising expectations that the federal reserve will raise interest rates. the dow jones industrial average has gained more than 1,000 points since the start of the year. the s&p 500 is up about 1% this year. the nasdaq composite is up more than 3%. ""we are in a very different world now. it's not the good old days of the 1980s,"" said charles mann, chief market strategist at charles schwab. ""it's more like the 1990s."" the dow jones industrial average has gained more than 1,000 points since the start of the year. the s&p 500 is up about 1% this year. the nasdaq composite is up more than 3%. the dow jones industrial average has gained more than 1,000 points since the start of the year. the s&p 500 is up about 1% this year. the nasdaq composite is up more than 3%. the dow jones industrial average has gained more than 1,000 points since the start of the year. the s&p 500 is up about 1% this year. the nasdaq composite is up more than 3%. the dow jones industrial average has gained more than 1,000 points since the start",gpt2
9,"chinese diplomat promotes conspiracy theory that us military brought virus to wuhan the city of wuhan, in china's hubei province, has been plagued by a mysterious outbreak of strange illnesses, which have been blamed on the use of banned insecticides. a number of illnesses have been reported, and the city's health department has urged people to avoid contact with contaminated areas. the wuhan government has been promoting a conspiracy theory that the us military brought the virus to the city in order to destroy its infrastructure. the chinese government has also issued a warning to residents to avoid contact with the infected area. the city's health department has issued a warning to residents to avoid contact with the infected area the city of wuhan, in china's hubei province, has been plagued by a mysterious outbreak of strange illnesses, which have been blamed on the use of banned insecticides the city has a population of approximately 2.5 million and is home to around 500,000 people. the city's health department has issued a warning to residents to avoid contact with the infected area. the city's health department has issued a warning to residents to avoid contact with the infected area the city has a population of approximately 2.5 million and is home to around 500,000 people. the city's health department has issued a warning to residents to avoid contact with the infected area the city has a population of approximately 2.5 million and is home to around 500,000 people. the city's health department has issued a warning to residents to avoid contact with the infected area | | (cnn) -- a 16-year-old boy was sentenced friday to life in prison without the possibility of parole for fatally shooting a 20-year-old man at a park in miami gardens, florida, a police official said. juan gabriel hernandez, who was 16 at the time of the shooting, had pleaded guilty to second-degree murder in march. hernandez was arrested in march after shooting and killing 22-year-old andrew torres, who was walking in the park with his girlfriend. hernandez admitted to the shooting after he and his mother called 911, according to a police report. ""they said that hernandez had shot torres in the back and the bullet had gone through torres' heart,"" detective david carbone said. hernandez was at the park with his mother and his cousin, according to the police report.",gpt2
