,Generation,label
0,"| | latest headlines on cnn business cnn business editor jim acosta said he would not comment on whether trump will attend the white house correspondents' association dinner. | | the uespwiki – your source for the elder scrolls since 1995 the imperial city is a capital city located on the continent of tamriel. the capital has a population of more than 100,000, making it more than the entire capital city of skyrim combined. its borders are the western and central provinces of morrowind, and its interior consists of the eastern portion of skyrim. the city's main business district is a district called the ""city hall"", where the imperial council holds its meetings. in general, the imperial city is a major center of political power in cyrodiil. it is also known for having an extensive underground network that connects its numerous settlements to the rest of tamriel. the main road to the city is the imperial highway.[2] in 1e 582, the imperial city was attacked by the redguard and became the seat of the city's government. the redguard attacked in large numbers due to political tensions between the city's various factions. a massive battle took place between the citizens of the city and the imperial legion, which was led by the imperial leader, emperor titus. the battle was a major setback for the imperial legion, and it was forced to leave the city.[note 1] in 1e 583, the capital of the imperial city was sacked. a group led by prince almalexia fled to the imperial city after it was attacked, but the redguards killed them and their leader was taken into custody by the city government.[3] the city is located on the coast between tamriel's southern coast and the continent of cyrodiil. there are several large rivers flowing through its area that lead to the city's interior, with the eastern coast being the most prominent. the imperial city's main thoroughfare is a major thoroughfare called the ""rivergate"", which connects several of the city's cities together. the imperial city's capital, the ""city hall"", is the center of the city's political power, as well as its administrative center, the ""city hall"", the seat of power of the city. see also [ edit ] for game-specific information regarding the elder scrolls, see the elder scrolls. books [ edit ] | | the latest in our continuing coverage of the 2016 season is now online! we",pplm
1,"| | china wants to take a victory lap over its handling of the coronavirus outbreak in west africa in order to show off its progress on fighting ebola, according to an expert. china's state council, the communist party's decision-making arm, is considering issuing a decree to allow the chinese government to use its national symbols to declare war on ebola in west africa, the expert said, adding that the government should be able to declare a state of war in the case of other outbreaks. | | if you have been a long time fan of the ""downton abbey"" series, then you've probably noticed the series of ""downton abbey"" commercials, which has been released on youtube and other online sites. they have been a hit with fans, and it has been a big success for the show. however, one episode in particular has become quite controversial among viewers and viewers who don't like the advertisements are calling out the series. the series of advertisements has become controversial due to a controversial scene that was shown during the show's premiere episode. the show ""downton abbey"" is a show which is based in england and based on historical events which have occurred in the history of that country. however, the series has also been criticized for its portrayal of british politics, which is one of the major issues that people are having with the show. the series was initially criticized because of the scene that was shown, when a british aristocrat and the british prime minister, william shakespeare, have a very public disagreement, and shakespeare is very upset because he thinks his political opponents should be more respected by britain. the series of advertisements that has been released on youtube and other internet sites have made people angry, and people have even called this show a ""racist show"". what makes fans angry about the show is that the series of advertisements have depicted the british political scene as racist by using stereotypical images, and the british politicians. the show portrays british politicians as the leaders of all races, and the british royal family, and they are depicted as the rulers and leaders of britain's political system. the show portrays british political politicians as being racist by using the political and political leaders of the country. the show also portrays british politicians in such ways that they seem as if all people of british politics, including the politicians, are all the same race. the show portrays british politicians as being racist by portraying all races as racist. one of the most offensive ads was when the british royal family had a disagreement between shakespeare, the prime minister of britain and a british",pplm
2,"| | coronavirus disinformation creates challenges for china's government by peter hanbury, global research the chinese government has been accused of using its massive propaganda machine to create a false dilemma for the united states: either the u.s. accept the china-backed government as a stable partner or it must continue to impose sanctions over the issue. the chinese government is not interested in the u.s. or the u.s. government accepting the legitimacy of the chinese government, and they are willing to do anything for its survival, even if it means putting their national security at risk, according to a former senior official. the chinese government wants to create a false dilemma for the u.s. by using the same tactics it has used to undermine the u.s. government since the cold war. as the chinese communist party tries to influence the u.s. government by using its own propaganda machine, it will likely resort to similar methods against other countries, including russia. according to the former official, the chinese propaganda machine includes the use of ""fraudulent information"" that can ""be manipulated and disseminated."" the chinese government has been attempting to create a false dilemma for the u.s. since president trump took office. in the summer of 2016, the chinese state-run propaganda agency xinhua issued a report claiming that ""american-backed forces have invaded and occupied the south china sea, and are now building up a military presence in the disputed area. it claimed that american ships have conducted drills in the disputed waters without warning, and that u.s. aircraft have carried out military drills in the south china sea, which has led to a wave of anti-chinese rhetoric from the white house government."" the report continued: ""the american administration's policies in the region have caused a wave of anti-china sentiment that is leading to widespread protests and violence, as well as threatening the stability of international peace and order. in this context, the chinese authorities have launched propaganda campaigns to create the impression that america's 'aggressive' policies are aimed at the country, and that it is the 'only one' that can stop the rise of the chinese communist party. ""this false choice has been used to create a public image as the 'one nation state', with the u.s. acting as its guarantor, while china is the 'foreign agent' that must accept u.s.' policies."" the report further stated that, """,pplm
3,"| | china coronavirus: eating wild animals made illegal but ending the trade won't be easy updated china is cracking down on illegal wildlife trading, saying it will ban the practice if it comes to power, but many say the measure will not stop a major outbreak from spreading across the country, especially in rural areas. the chinese government's announcement comes less than a day after the state news agency said a total of 2,800 people had been killed in the country's worst outbreak in recorded history. ""the government's announcement to end the illegal wildlife trade, and to restrict trade in wildlife products, has been a major step, but this does not stop the spread of the epidemic,"" state news agency xinhua said. the agency, which is state-run, said that the government had banned ""any illegal activities involving killing of wildlife and wildlife habitat"". it said the measure would apply to state-owned and state-run industries that sell endangered wildlife such as tigers and rhinoceros. but many fear it will not be enough and there could be a long state-run government shutdown, which could leave the authorities without funds to tackle the problem. the state media also said that government officials had issued a statement saying the ban could be implemented in two or three months, state media state-run newspaper the state state media also said that government officials had issued a statement saying the ban could be enacted in two or three months, state media state-run media also said state-run newspaper the state state mouth state news agency state news agency state-controlled media xinhua said the state government was taking steps to protect state-owned enterprises, state state government state-owned media state-owned news agency state-government state-state media xinjiang province state state-state media state-state-state government xinhua state-owned media state government state official state-state state state government state-state xinhua state-state state-owned media state state-government state- state state government state-state state xinhua state state xinjiang state state state state state xinhua state xin state state media state state- state-run state state state state state state state state state state state state state xin state state xin state state state state state state state state state state state state state state state state xin state state state xin state state state state state state chinese state media state state state- state state state state state state state state state state state state state state state government xinhua state state state state state state state state state",pplm
4,"| | china's economy could shrink for the first time in decades because of the coronavirus outbreak of people infected with zika, according to an influential state government. in an interview with state broadcaster cctv, the state government chairman of the national people's congress, li yuanchao said the number of infections and deaths in the country had increased dramatically after the outbreak last week, with the country's government reporting at least 1,817 people infected, including 1,539 children, according to state broadcaster cctv. ""zika is causing a great number of diseases,"" he said. ""this year's outbreak of zika is a direct result to the coronaviruses."" the outbreak has already caused an estimated 100,000 to 150,000 to get sick. he said that the government had launched the governmentwide response against the virus and was preparing emergency measures such as vaccines. china has been battling a massive public health crisis that has forced hundreds of millions of people into poverty. china's state media report that the death toll for the outbreak had risen from 1,039 to 1,813 by sunday morning, citing state broadcaster cctv's information. the country's ministry of health said it had issued 1,974 health certificates for the outbreak, with the number of cases rising from 1,539 to 1,813 and deaths continuing to increase. state-run state broadcaster cctv said the number of patients and deaths has increased to 2,099 so far, adding a death certificate issued by state authorities had revealed another 1,097 infections in the state, up from 1,054 in the day before. it added: ""we have also reported that the number of infections has gone up again this afternoon after the outbreak in the southern province of hunan and the province of jiangsu."" li was responding to a question on what measures the government was preparing and how to deal with the outbreak as the country's president on monday. zika was first detected by state television earlier this year, but it was thought to be confined to only one region of the state, where it was not yet known if the disease had spread to the rest of the country or if the state had not taken action. but the state's state-owned xinhua state agency said that in the last week alone, there had been at least 1,913 cases of zika and 1,056 deaths across the whole country and the country's government had launched emergency measures to",pplm
5,"| | china and japan's budding relationship in the time of coronavirus disease has seen them join forces to combat the deadly outbreak. the two nations have agreed to help fund research into how to fight the disease while also working together on government initiatives, a japanese ministry official told the state-owned news agency state government government news agency xinhua. the japanese government is also working with state-owned chinese state-owned state-run xinhua news agency to help develop a state government strategy to curb government spending, state-run xinhua reported, state government media reported government-run china government government government government government government government government state government government state government government government state government government government government government government government government government government government government government government state government government government state government government government government state government government government government state government government government government government government government government government government government government government government government government government government government government government government government government state government state government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government state government state government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government state government state government government government government government government government government government government government state government state government government government government government government government government government government government state government state government government government government government government government government government government government government government government state government government state government government government government government government government government government government government government government government government government government government government government state government state government government government government government government government government government government government government government state government government government government government government government government government government government government government government government federal government federal government federal government federal government federal government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government governmental government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government",pplm
6,"| | coronavirus is fast becoming an 'economic pandemic' that will impact every aspect of the economy. in fact, we are seeing an unprecedented wave of economic losses due to the disease, as governments and the federal government have refused to act on government funding cuts. coronavirus is a deadly disease that causes the central nervous system to shut down in the first week or so, causing a state of paralysis, paralysis, and death. this paralysis is accompanied by the death of a person's brain cells, a result of which will be the death of any human being who is unable to get up to the government offices in a functioning state to vote. it can also result in the loss of all of our tax dollars, as the government has not only taken away from the government what was supposed to be paid for it (the budget surplus), they also have taken all of our tax dollars away, as the government has not only failed to raise revenue in a timely manner, but has failed to pay government taxes for over four years. coronavirus and the government the government of canada has spent over half a trillion dollars since 2008 to fight the spread of the ebola virus. it has spent over $1 billion per day since 2009, and the government is now spending over $5 billion a day on the war on ebola. the government government is not even trying to stop the virus, because government officials are so afraid of the government government government that they have been government employees, and thus, are government bureaucrats. this means that government bureaucrats are not allowed government funding in the government, but are instead government employees. it also means that every government department, government agency, government government agency, or government department government agency is government government bureaucrats government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government so if the government government is trying to stop government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government government",pplm
7,"| | a history of wuhan, one-time chinese capital and coronavirus epicenter by chris morris and john o'connor 16 september 2012 on september 11, 2001, the world's capital suffered the most devastating terrorist attack ever, a devastating earthquake and tsunami that killed an estimated 2.3 million people and left millions homeless. in its aftermath, the government in china, which had been a staunch u.s. ally during the cold war, was forced to impose an embargo on all foreign trade, and its capital city, the city of wuhan, was effectively abandoned for good. wu hao, the chief executive of wuhan city council at the time, said in his testimony for a committee hearing that, ""the city's main focus for the last two years has been to rebuild the infrastructure and provide basic services."" his testimony further stressed that the city was now ready to welcome a new ""chinese-style government,"" which would replace the ""foreign-style"" government with a ""chinese-style government."" wuyuan's mayor, the now-retired wang zhisheng, told the committee that his city would ""be able to provide basic services,"" which was an admission that he had not yet fully realized his ambitious plan to ""redevelop the city."" in the same meeting, the head of state's economic commission announced that the city would not receive a foreign-style investment package, and that he had not yet decided on the future of the capital, as well. according to reports from wuhan in the aftermath of september 11, the u.s. government was aware of the city's problems and had tried to ""reduce the city's burden of government and bureaucracy,"" but the chinese government refused this offer. wuyuan was not only a major economic hub of china, but also one of the largest sources of u.s. military intelligence, intelligence services, and other military and intelligence personnel, as well as of u.s. military aid to the people's republic of taiwan (prc). after the u.s. invasion of iraq, the u.s. government was aware of the city's problems, and had attempted to help rebuild it, and it was only after the 2003 u.s. invasion of iraq's central government, baghdad, that the u.s. government realized it needed to ""rebuild the city"" and put more money into reconstruction programs. after the invasion and occupation, the u.s. military, which",pplm
8,"| | global stocks pull back from the edge after historic sell-off updated australia's shares have fallen sharply after the world's biggest stock index fell by more than 5 per cent, as traders blamed a weak chinese economy for a global stock rally. the s&p 500 closed down more than 1 per cent to close at 15,814.20, its lowest since may 2009, as the dow industrials and the tech giant facebook fell sharply. australia's biggest bank, the western australian government's state-owned electricity utility and a number of smaller investors also fell sharply. ""it's a big drop and a big shock for australia's investors,"" said paul rynne, head of australian stock index at citi. ""the global market is down about 5 per cent in terms of its biggest index index index."" the market is down about 7 per cent, he said. the dow fell nearly 20 points, while the s&p index lost more than 10 per cent and the tech industry index shed about 10 per cent, with the australian government's power utility down 10. china's currency was also hit with a massive government stimulus package, but there are signs that the economy has been slowing down, with a number of major banks now reporting weak growth. ""i think there's some signs it's the beginning of the beginning to get a handle for the economic situation in china, and that's a really important part of what the government needs to do,"" professor rynne said. ""so we expect that the next two months of economic activity will be very important for china, for the economy as a whole."" the australian government is also struggling to contain a debt crisis caused largely by its government-funded infrastructure projects. the australian government has been unable to raise taxes, reduce spending, or cut spending for the public good since 2013. the government has promised an election in july next year, as it attempts to balance the budget after the election next july, and it has been struggling to do just that. in a sign the government is having to take on more debt, the country's government bond yields have jumped sharply in the last few days of trading, from the lower of the two-and-a-half percentage point yield that is used in bond markets at this stage of a government bond offering, to the highest rate in more than six years at the highest yield ever, and to a record high level, said",pplm
9,"| | chinese diplomat promotes conspiracy theory that us military brought virus to wuhan china has promoted its own conspiracy theory that us military scientists are responsible for bringing ebola to wuhan and that the us has contracted the disease from american soldiers infected in a remote rural area during a us-afghan mission. in a blog post, chinese diplomat zhao jiajia said the us military is a secret ""black government"". ""the us has not been fully disclosed to international bodies and the public, and has not revealed the real reason behind its deployment. the us military has no official mission, but is a secret government, with its own government and secret services,"" he wrote in the chinese state-owned newspaper the people's daily on april 7. ""the us military is a secret black government. its secret agencies are all powerful and influential government departments."" zhao said he believed the virus, which the world health organization has classified as ebola virus disease, originated with the us military's military health department and was spread through us medical staff and doctors from hospitals in the us. a us government agency has denied the accusation. us health agencies have said they have no contact with chinese military officials to investigate the alleged conspiracy. zhao did not give a source of the virus, saying only that the us military and the us military government were responsible for it. the chinese state news service xinhua said the us government has ""taken control"" of the government, military, and intelligence. chinese president xi jinping has repeatedly criticised the us military's deployment in the country, saying the country had not been properly informed by washington. he also has called for an end to us military operations in chinese territory. us troops deployed to china in 2011 were accused of killing and infecting civilians in the country's impoverished rural regions, sparking mass protests. us government says it does not use military to carry out surveillance missions the chinese government has not directly denied the allegations in the blog entry. but zhao wrote: ""we don't accept it, nor have we seen any evidence. ""in any case, the us government is not our government, but rather a secret black government, a government of state security, which is directly state-state, and state-owned, state-controlled and state-controlled enterprises. so we believe that the government is state-run in nature."" he further added that the chinese government does not use its state security agencies or the military",pplm
